CustomerID,CustomerName,Region,Channel,CustomerSegment,OnboardDate,CreditLimitGBP,PaymentTermsDays,SalesRepCode
1,Fictional Outlet 00001,North,Traditional Trade,Small,2022-08-27,25000,60,REP002
2,Fictional Outlet 00002,South,Traditional Trade,Small,2023-01-09,50000,30,REP003
3,Fictional Outlet 00003,East,Wholesale,Large,2022-05-18,10000,15,REP004
4,Fictional Outlet 00004,West,Traditional Trade,Small,2023-02-19,50000,60,REP005
5,Fictional Outlet 00005,North,Traditional Trade,Medium,2022-03-26,25000,45,REP006
6,Fictional Outlet 00006,South,Traditional Trade,Small,2023-04-15,10000,15,REP007
7,Fictional Outlet 00007,East,Modern Trade,Medium,2023-04-10,50000,60,REP008
8,Fictional Outlet 00008,West,Traditional Trade,Large,2022-07-04,25000,15,REP009
9,Fictional Outlet 00009,North,Traditional Trade,Medium,2022-05-25,25000,15,REP010
10,Fictional Outlet 00010,South,Ecommerce,Large,2022-08-13,25000,15,REP011
11,Fictional Outlet 00011,East,Modern Trade,Small,2023-08-02,10000,45,REP012
12,Fictional Outlet 00012,West,Traditional Trade,Large,2022-06-09,50000,15,REP013
13,Fictional Outlet 00013,North,Wholesale,Large,2023-12-29,25000,15,REP014
14,Fictional Outlet 00014,South,Modern Trade,Large,2022-01-17,10000,15,REP015
15,Fictional Outlet 00015,East,Modern Trade,Large,2022-01-17,50000,60,REP016
16,Fictional Outlet 00016,West,Ecommerce,Large,2023-09-11,5000,30,REP017
17,Fictional Outlet 00017,North,Modern Trade,Small,2023-02-10,50000,60,REP018
18,Fictional Outlet 00018,South,Traditional Trade,Small,2023-12-02,50000,15,REP019
19,Fictional Outlet 00019,East,Traditional Trade,Small,2022-10-04,5000,15,REP020
20,Fictional Outlet 00020,West,Traditional Trade,Large,2022-04-29,10000,30,REP021
21,Fictional Outlet 00021,North,Traditional Trade,Large,2022-02-19,50000,60,REP022
22,Fictional Outlet 00022,South,Ecommerce,Large,2022-03-04,10000,60,REP023
23,Fictional Outlet 00023,East,Modern Trade,Medium,2023-07-20,25000,60,REP024
24,Fictional Outlet 00024,West,Traditional Trade,Small,2023-07-05,10000,30,REP025
25,Fictional Outlet 00025,North,Modern Trade,Small,2023-11-19,50000,60,REP026
26,Fictional Outlet 00026,South,Traditional Trade,Medium,2022-06-10,5000,45,REP027
27,Fictional Outlet 00027,East,Traditional Trade,Large,2023-07-18,50000,30,REP028
28,Fictional Outlet 00028,West,Modern Trade,Small,2022-07-08,5000,45,REP029
