DeliveryLineID,OrderLineID,DispatchDate,DeliveredDate,ShippedCases,NetUnitPriceGBP,NetInvoiceGBP,StandardCostPerCaseGBP,COGSGBP,FreightGBP,CarrierCode,DeliveryStatus
1,1,2024-01-02,2024-01-05,64,46.27,2961.28,30.19,1932.16,39.0,CAR03,Delivered
2,4,2024-01-02,2024-01-03,61,34.3,2092.3,22.38,1365.18,28.35,CAR01,Delivered
3,6,2024-01-02,2024-01-05,61,18.95,1155.95,12.77,778.97,37.5,CAR02,Delivered
4,11,2024-01-02,2024-01-03,83,42.14,3497.62,28.4,2357.2,36.05,CAR01,Delivered
5,17,2024-01-02,2024-01-05,12,48.48,581.76,32.67,392.04,13.0,CAR03,Delivered
6,17,2024-01-02,2024-01-03,12,48.48,581.76,32.67,392.04,13.0,CAR03,Delivered
7,18,2024-01-02,2024-01-05,83,43.5,3610.5,26.97,2238.51,36.05,CAR01,Delivered
8,19,2024-01-02,2024-01-05,84,15.52,1303.68,9.92,833.28,49.0,CAR02,Delivered
9,20,2024-01-02,2024-01-04,69,28.91,1994.79,18.48,1275.12,31.15,CAR01,Delivered
10,24,2024-01-02,2024-01-03,88,31.65,2785.2,21.33,1877.04,51.0,CAR02,Delivered
11,32,2024-01-02,2024-01-03,59,53.35,3147.65,34.1,2011.9,36.5,CAR02,Delivered
12,36,2024-01-02,2024-01-05,110,45.3,4983.0,28.09,3089.9,62.0,CAR03,Delivered
13,38,2024-01-02,2024-01-05,64,38.4,2457.6,23.81,1523.84,29.4,CAR01,Delivered
14,43,2024-01-02,2024-01-05,80,26.86,2148.8,18.1,1448.0,47.0,CAR02,Delivered
15,45,2024-01-02,2024-01-05,51,24.75,1262.25,16.68,850.68,24.85,CAR01,Delivered
16,50,2024-01-02,2024-01-03,101,27.42,2769.42,18.48,1866.48,42.35,CAR01,Delivered
17,62,2024-01-02,2024-01-03,61,28.0,1708.0,17.36,1058.96,28.35,CAR01,Delivered
18,63,2024-01-02,2024-01-05,89,26.13,2325.57,17.05,1517.45,51.5,CAR02,Delivered
19,67,2024-01-02,2024-01-03,85,48.89,4155.65,31.25,2656.25,36.75,CAR01,Delivered
20,68,2024-01-02,2024-01-04,54,43.5,2349.0,26.97,1456.38,34.0,CAR02,Delivered
21,68,2024-01-02,2024-01-04,55,43.5,2392.5,26.97,1483.35,34.5,CAR03,Delivered
22,73,2024-01-02,2024-01-03,52,19.57,1017.64,12.77,664.04,33.0,CAR02,Delivered
23,75,2024-01-02,2024-01-04,68,40.57,2758.76,27.34,1859.12,41.0,CAR02,Delivered
24,81,2024-01-02,2024-01-05,58,32.0,1856.0,19.84,1150.72,36.0,CAR03,Delivered
25,85,2024-01-02,2024-01-04,53,42.47,2250.91,27.71,1468.63,33.5,CAR03,Delivered
26,85,2024-01-02,2024-01-04,53,42.47,2250.91,27.71,1468.63,25.55,CAR01,Delivered
27,90,2024-01-02,2024-01-03,24,42.47,1019.28,27.71,665.04,19.0,CAR03,Delivered
28,90,2024-01-02,2024-01-03,25,42.47,1061.75,27.71,692.75,19.5,CAR02,Delivered
29,97,2024-01-02,2024-01-03,52,28.98,1506.96,19.53,1015.56,33.0,CAR03,Delivered
30,99,2024-01-02,2024-01-04,48,30.54,1465.92,20.58,987.84,23.8,CAR01,Delivered
31,99,2024-01-02,2024-01-04,48,30.54,1465.92,20.58,987.84,23.8,CAR01,Delivered
32,103,2024-01-02,2024-01-04,65,37.83,2458.95,24.18,1571.7,39.5,CAR02,Delivered
33,104,2024-01-02,2024-01-04,19,31.54,599.26,20.58,391.02,13.65,CAR01,Delivered
34,104,2024-01-02,2024-01-05,19,31.54,599.26,20.58,391.02,16.5,CAR02,Delivered
35,107,2024-01-02,2024-01-04,74,39.5,2923.0,24.49,1812.26,44.0,CAR02,Delivered
36,109,2024-01-02,2024-01-03,55,38.4,2112.0,23.81,1309.55,26.25,CAR01,Delivered
37,114,2024-01-02,2024-01-03,70,53.35,3734.5,34.1,2387.0,42.0,CAR02,Delivered
38,115,2024-01-02,2024-01-03,54,51.12,2760.48,32.67,1764.18,34.0,CAR02,Delivered
39,115,2024-01-02,2024-01-05,55,51.12,2811.6,32.67,1796.85,34.5,CAR02,Delivered
40,117,2024-01-02,2024-01-04,24,35.34,848.16,23.06,553.44,19.0,CAR02,Delivered
41,118,2024-01-02,2024-01-05,36,32.79,1180.44,20.96,754.56,19.6,CAR01,Delivered
42,121,2024-01-02,2024-01-05,80,23.86,1908.8,15.25,1220.0,47.0,CAR02,Delivered
43,122,2024-01-02,2024-01-05,20,37.2,744.0,23.06,461.2,14.0,CAR01,Delivered
44,122,2024-01-02,2024-01-05,21,37.2,781.2,23.06,484.26,14.35,CAR01,Delivered
45,123,2024-01-02,2024-01-05,85,26.9,2286.5,16.68,1417.8,36.75,CAR01,Delivered
46,124,2024-01-02,2024-01-04,60,38.9,2334.0,24.86,1491.6,37.0,CAR02,Delivered
47,125,2024-01-02,2024-01-03,87,35.34,3074.58,23.06,2006.22,37.45,CAR01,Delivered
48,136,2024-01-02,2024-01-05,44,34.3,1509.2,21.27,935.88,29.0,CAR02,Delivered
49,138,2024-01-02,2024-01-04,25,46.4,1160.0,28.77,719.25,15.75,CAR01,Delivered
50,142,2024-01-02,2024-01-04,51,29.97,1528.47,19.16,977.16,32.5,CAR02,Delivered
51,142,2024-01-02,2024-01-03,51,29.97,1528.47,19.16,977.16,32.5,CAR02,Delivered
52,143,2024-01-02,2024-01-05,64,49.47,3166.08,31.62,2023.68,29.4,CAR01,Delivered
53,144,2024-01-02,2024-01-03,45,34.87,1569.15,22.75,1023.75,22.75,CAR01,Delivered
54,145,2024-01-02,2024-01-04,59,21.19,1250.21,13.83,815.97,27.65,CAR01,Delivered
55,147,2024-01-02,2024-01-04,102,33.2,3386.4,20.58,2099.16,42.7,CAR01,Delivered
56,150,2024-01-02,2024-01-03,27,39.14,1056.78,25.54,689.58,20.5,CAR02,Delivered
57,150,2024-01-02,2024-01-05,27,39.14,1056.78,25.54,689.58,16.45,CAR01,Delivered
58,153,2024-01-02,2024-01-04,31,51.0,1581.0,31.62,980.22,22.5,CAR02,Delivered
59,153,2024-01-02,2024-01-05,31,51.0,1581.0,31.62,980.22,22.5,CAR03,Delivered
60,157,2024-01-02,2024-01-04,97,28.43,2757.71,19.16,1858.52,55.5,CAR03,Delivered
61,158,2024-01-02,2024-01-04,83,41.12,3412.96,27.71,2299.93,36.05,CAR01,Delivered
62,161,2024-01-02,2024-01-04,110,39.71,4368.1,25.92,2851.2,62.0,CAR03,Delivered
63,163,2024-01-02,2024-01-04,56,40.7,2279.2,25.23,1412.88,35.0,CAR02,Delivered
64,169,2024-01-02,2024-01-03,85,39.48,3355.8,25.23,2144.55,49.5,CAR03,Delivered
65,174,2024-01-02,2024-01-05,104,21.63,2249.52,13.83,1438.32,43.4,CAR01,Delivered
66,176,2024-01-02,2024-01-05,104,34.44,3581.76,22.01,2289.04,43.4,CAR01,Delivered
67,181,2024-01-02,2024-01-04,42,41.32,1735.44,26.97,1132.74,28.0,CAR02,Delivered
68,181,2024-01-02,2024-01-03,43,41.32,1776.76,26.97,1159.71,22.05,CAR01,Delivered
69,184,2024-01-02,2024-01-05,53,43.24,2291.72,29.14,1544.42,33.5,CAR02,Delivered
70,184,2024-01-02,2024-01-03,54,43.24,2334.96,29.14,1573.56,34.0,CAR02,Delivered
71,186,2024-01-02,2024-01-05,24,27.17,652.08,17.73,425.52,15.4,CAR01,Delivered
