SnapshotID,SnapshotDate,WarehouseID,ProductID,OpeningCases,ProductionReceiptCases,ShippedCases,WriteOffCases,ClosingCases,StandardCostPerCaseGBP,ClosingValueGBP,SafetyStockCases
1,2024-01-01,WH01,SKU001,300,0,0,0,300,11.35,3405.0,180
2,2024-01-01,WH01,SKU002,300,180,0,0,480,12.77,6129.6,180
3,2024-01-01,WH01,SKU003,300,0,0,0,300,14.2,4260.0,180
4,2024-01-01,WH01,SKU004,300,0,0,0,300,15.62,4686.0,180
5,2024-01-01,WH01,SKU005,300,212,0,0,512,17.05,8729.6,180
6,2024-01-01,WH01,SKU006,300,0,0,0,300,18.48,5544.0,180
7,2024-01-01,WH01,SKU007,300,0,0,0,300,19.9,5970.0,180
8,2024-01-01,WH01,SKU008,300,237,0,0,537,21.33,11454.21,180
9,2024-01-01,WH01,SKU009,300,0,0,0,300,22.75,6825.0,180
10,2024-01-01,WH01,SKU010,300,0,0,0,300,24.18,7254.0,180
11,2024-01-01,WH01,SKU011,300,203,0,0,503,25.61,12881.83,180
12,2024-01-01,WH01,SKU012,300,0,0,0,300,9.92,2976.0,180
13,2024-01-01,WH01,SKU013,300,0,0,0,300,13.83,4149.0,180
14,2024-01-01,WH01,SKU014,300,227,0,0,527,15.25,8036.75,180
15,2024-01-01,WH01,SKU015,300,0,0,0,300,16.68,5004.0,180
16,2024-01-01,WH01,SKU016,300,0,0,0,300,18.1,5430.0,180
17,2024-01-01,WH01,SKU017,300,222,0,0,522,19.53,10194.66,180
18,2024-01-01,WH01,SKU018,300,0,0,1,299,20.96,6267.04,180
19,2024-01-01,WH01,SKU019,300,0,0,0,300,22.38,6714.0,180
20,2024-01-01,WH01,SKU020,300,186,0,0,486,23.81,11571.66,180
21,2024-01-01,WH01,SKU021,300,0,0,0,300,25.23,7569.0,180
22,2024-01-01,WH01,SKU022,300,0,0,0,300,26.66,7998.0,180
23,2024-01-01,WH01,SKU023,300,172,0,0,472,28.09,13258.48,180
24,2024-01-01,WH01,SKU024,300,0,0,0,300,12.4,3720.0,180
25,2024-01-01,WH01,SKU025,300,0,0,0,300,16.31,4893.0,180
26,2024-01-01,WH01,SKU026,300,200,0,0,500,17.73,8865.0,180
27,2024-01-01,WH01,SKU027,300,0,0,0,300,19.16,5748.0,180
