BatchID,ProductionDate,ProductID,PlantID,WarehouseID,LineCode,PlannedCases,ProducedCases,GoodCases,RejectedCases,ScheduledMinutes,DowntimeMinutes,DowntimeReason,StandardCostPerCaseGBP,ActualConversionCostGBP
1,2024-01-01,SKU002,PL01,WH01,L3,206,183,180,3,120,10,Mechanical,12.77,409.36
2,2024-01-01,SKU005,PL01,WH01,L2,232,218,212,6,120,9,Cleaning,17.05,474.37
3,2024-01-01,SKU008,PL01,WH01,L1,255,245,237,8,120,0,None,21.33,489.14
4,2024-01-01,SKU011,PL01,WH01,L4,239,206,203,3,120,14,Material Wait,25.61,519.54
5,2024-01-01,SKU014,PL01,WH01,L3,248,236,227,9,120,1,Cleaning,15.25,506.94
6,2024-01-01,SKU017,PL01,WH01,L2,236,227,222,5,120,2,Material Wait,19.53,552.78
7,2024-01-01,SKU020,PL01,WH01,L1,213,192,186,6,120,6,Changeover,23.81,478.47
8,2024-01-01,SKU023,PL01,WH01,L4,204,178,172,6,120,15,Material Wait,28.09,398.39
9,2024-01-01,SKU026,PL01,WH01,L3,228,203,200,3,120,15,Cleaning,17.73,392.61
10,2024-01-01,SKU029,PL01,WH01,L2,214,206,199,7,120,2,Mechanical,22.01,484.82
11,2024-01-01,SKU032,PL01,WH01,L1,251,219,215,4,120,13,Mechanical,26.29,416.03
12,2024-01-01,SKU035,PL01,WH01,L4,208,205,198,7,120,2,Material Wait,30.57,401.33
13,2024-01-01,SKU038,PL01,WH01,L3,221,201,195,6,120,10,Cleaning,20.21,424.27
14,2024-01-01,SKU041,PL01,WH01,L2,201,203,198,5,120,0,None,24.49,387.71
15,2024-01-01,SKU044,PL01,WH01,L1,201,174,171,3,120,14,Material Wait,28.77,418.01
16,2024-01-01,SKU047,PL01,WH01,L4,214,211,206,5,120,0,None,33.05,460.07
17,2024-01-01,SKU050,PL01,WH01,L3,247,220,214,6,120,11,Cleaning,22.69,550.81
18,2024-01-01,SKU053,PL01,WH01,L2,240,215,210,5,120,8,Material Wait,26.97,488.95
19,2024-01-01,SKU056,PL01,WH01,L1,203,184,179,5,120,9,Material Wait,31.25,343.91
20,2024-01-01,SKU059,PL01,WH01,L4,222,195,192,3,120,8,Mechanical,35.53,387.58
21,2024-01-01,SKU001,PL02,WH02,L2,259,238,233,5,120,11,Cleaning,11.35,444.72
22,2024-01-01,SKU004,PL02,WH02,L1,230,224,218,6,120,3,Changeover,15.62,469.71
23,2024-01-01,SKU007,PL02,WH02,L4,234,218,212,6,120,1,Changeover,19.9,410.11
24,2024-01-01,SKU010,PL02,WH02,L3,241,208,205,3,120,10,Mechanical,24.18,481.11
25,2024-01-01,SKU013,PL02,WH02,L2,204,190,183,7,120,7,Mechanical,13.83,391.34
26,2024-01-01,SKU016,PL02,WH02,L1,220,191,186,5,120,14,Changeover,18.1,462.92
27,2024-01-01,SKU019,PL02,WH02,L4,259,222,218,4,120,15,Material Wait,22.38,560.83
28,2024-01-01,SKU022,PL02,WH02,L3,217,197,190,7,120,7,Changeover,26.66,371.87
29,2024-01-01,SKU025,PL02,WH02,L2,212,202,196,6,120,0,None,16.31,366.97
30,2024-01-01,SKU028,PL02,WH02,L1,245,217,211,6,120,11,Material Wait,20.58,489.74
31,2024-01-01,SKU031,PL02,WH02,L4,204,198,194,4,120,2,Changeover,24.86,430.13
32,2024-01-01,SKU034,PL02,WH02,L3,218,201,196,5,120,4,Material Wait,29.14,426.15
33,2024-01-01,SKU037,PL02,WH02,L2,212,200,197,3,120,1,Mechanical,18.79,450.53
34,2024-01-01,SKU040,PL02,WH02,L1,244,210,205,5,120,17,Changeover,23.06,485.97
35,2024-01-01,SKU043,PL02,WH02,L4,254,209,205,4,120,18,Mechanical,27.34,524.03
36,2024-01-01,SKU046,PL02,WH02,L3,215,190,187,3,120,7,Cleaning,31.62,462.63
37,2024-01-01,SKU049,PL02,WH02,L2,206,194,188,6,120,4,Cleaning,21.27,502.75
38,2024-01-01,SKU052,PL02,WH02,L1,219,177,171,6,120,17,Cleaning,25.54,438.92
39,2024-01-01,SKU055,PL02,WH02,L4,246,235,227,8,120,5,Mechanical,29.82,574.41
40,2024-01-01,SKU058,PL02,WH02,L3,234,223,216,7,120,1,Changeover,34.1,521.64
41,2024-01-01,SKU003,PL03,WH03,L4,246,215,212,3,120,14,Cleaning,14.2,467.27
42,2024-01-01,SKU006,PL03,WH03,L3,255,209,202,7,120,17,Material Wait,18.48,439.85
43,2024-01-01,SKU009,PL03,WH03,L2,235,193,188,5,120,16,Mechanical,22.75,366.65
44,2024-01-01,SKU012,PL03,WH03,L1,232,192,188,4,120,18,Material Wait,9.92,397.4
45,2024-01-01,SKU015,PL03,WH03,L4,227,217,211,6,120,0,None,16.68,556.2
46,2024-01-01,SKU018,PL03,WH03,L3,256,215,209,6,120,14,Changeover,20.96,524.03
47,2024-01-01,SKU021,PL03,WH03,L2,230,207,200,7,120,7,Mechanical,25.23,492.49
48,2024-01-01,SKU024,PL03,WH03,L1,253,214,206,8,120,12,Material Wait,12.4,474.7
49,2024-01-01,SKU027,PL03,WH03,L4,242,238,230,8,120,0,None,19.16,602.54
50,2024-01-01,SKU030,PL03,WH03,L3,233,227,222,5,120,1,Changeover,23.44,530.84
51,2024-01-01,SKU033,PL03,WH03,L2,227,213,207,6,120,6,Material Wait,27.71,544.25
52,2024-01-01,SKU036,PL03,WH03,L1,217,194,190,4,120,7,Material Wait,14.88,351.18
53,2024-01-01,SKU039,PL03,WH03,L4,221,215,209,6,120,2,Mechanical,21.64,546.02
54,2024-01-01,SKU042,PL03,WH03,L3,215,187,183,4,120,9,Changeover,25.92,401.24
55,2024-01-01,SKU045,PL03,WH03,L2,258,216,210,6,120,17,Material Wait,30.19,441.25
56,2024-01-01,SKU048,PL03,WH03,L1,254,243,236,7,120,6,Mechanical,17.36,479.4
57,2024-01-01,SKU051,PL03,WH03,L4,255,243,238,5,120,4,Material Wait,24.12,460.66
58,2024-01-01,SKU054,PL03,WH03,L3,258,253,245,8,120,1,Changeover,28.4,629.32
59,2024-01-01,SKU057,PL03,WH03,L2,200,186,180,6,120,5,Changeover,32.67,406.76
60,2024-01-01,SKU060,PL03,WH03,L1,229,217,213,4,120,3,Changeover,19.84,408.56
61,2024-01-01,SKU002,PL04,WH04,L3,215,194,189,5,120,11,Cleaning,12.77,480.52
62,2024-01-01,SKU005,PL04,WH04,L2,201,192,188,4,120,7,Cleaning,17.05,426.46
63,2024-01-01,SKU008,PL04,WH04,L1,245,239,232,7,120,3,Cleaning,21.33,564.39
64,2024-01-01,SKU011,PL04,WH04,L4,240,238,235,3,120,2,Changeover,25.61,442.07
65,2024-01-01,SKU014,PL04,WH04,L3,245,222,215,7,120,7,Material Wait,15.25,472.6
66,2024-01-01,SKU017,PL04,WH04,L2,252,224,216,8,120,10,Mechanical,19.53,455.76
67,2024-01-01,SKU020,PL04,WH04,L1,206,187,181,6,120,12,Material Wait,23.81,372.12
68,2024-01-01,SKU023,PL04,WH04,L4,201,176,171,5,120,16,Material Wait,28.09,391.84
69,2024-01-01,SKU026,PL04,WH04,L3,257,255,245,10,120,3,Mechanical,17.73,521.72
70,2024-01-01,SKU029,PL04,WH04,L2,258,248,244,4,120,1,Material Wait,22.01,609.04
71,2024-01-01,SKU032,PL04,WH04,L1,230,220,215,5,120,5,Cleaning,26.29,461.62
72,2024-01-01,SKU035,PL04,WH04,L4,250,216,212,4,120,11,Mechanical,30.57,467.76
73,2024-01-01,SKU038,PL04,WH04,L3,243,218,215,3,120,7,Cleaning,20.21,493.22
74,2024-01-01,SKU041,PL04,WH04,L2,233,199,192,7,120,16,Mechanical,24.49,474.51
75,2024-01-01,SKU044,PL04,WH04,L1,256,238,234,4,120,5,Cleaning,28.77,580.33
76,2024-01-01,SKU047,PL04,WH04,L4,226,209,204,5,120,2,Mechanical,33.05,390.21
77,2024-01-01,SKU050,PL04,WH04,L3,205,183,179,4,120,7,Mechanical,22.69,381.76
78,2024-01-01,SKU053,PL04,WH04,L2,202,177,173,4,120,12,Material Wait,26.97,318.91
79,2024-01-01,SKU056,PL04,WH04,L1,257,247,239,8,120,3,Cleaning,31.25,498.86
80,2024-01-01,SKU059,PL04,WH04,L4,232,204,200,4,120,8,Cleaning,35.53,496.39
81,2024-01-02,SKU001,PL01,WH01,L2,222,196,190,6,120,14,Changeover,11.35,360.36
82,2024-01-02,SKU004,PL01,WH01,L1,230,228,223,5,120,0,None,15.62,537.25
83,2024-01-02,SKU007,PL01,WH01,L4,214,181,178,3,120,14,Changeover,19.9,395.13
84,2024-01-02,SKU010,PL01,WH01,L3,211,196,189,7,120,5,Changeover,24.18,365.8
85,2024-01-02,SKU013,PL01,WH01,L2,228,222,218,4,120,1,Changeover,13.83,551.33
86,2024-01-02,SKU016,PL01,WH01,L1,212,178,174,4,120,13,Cleaning,18.1,460.83
87,2024-01-02,SKU019,PL01,WH01,L4,251,236,228,8,120,6,Mechanical,22.38,591.69
88,2024-01-02,SKU022,PL01,WH01,L3,246,206,200,6,120,18,Mechanical,26.66,418.23
89,2024-01-02,SKU025,PL01,WH01,L2,211,194,190,4,120,6,Cleaning,16.31,478.9
90,2024-01-02,SKU028,PL01,WH01,L1,247,233,225,8,120,4,Material Wait,20.58,425.73
91,2024-01-02,SKU031,PL01,WH01,L4,216,186,183,3,120,17,Cleaning,24.86,425.18
92,2024-01-02,SKU034,PL01,WH01,L3,234,205,198,7,120,9,Material Wait,29.14,434.98
93,2024-01-02,SKU037,PL01,WH01,L2,223,219,215,4,120,3,Material Wait,18.79,493.48
94,2024-01-02,SKU040,PL01,WH01,L1,231,192,188,4,120,14,Cleaning,23.06,411.6
95,2024-01-02,SKU043,PL01,WH01,L4,242,237,231,6,120,0,None,27.34,515.94
96,2024-01-02,SKU046,PL01,WH01,L3,218,184,178,6,120,15,Changeover,31.62,384.07
97,2024-01-02,SKU049,PL01,WH01,L2,256,225,217,8,120,14,Material Wait,21.27,534.45
98,2024-01-02,SKU052,PL01,WH01,L1,247,245,241,4,120,0,None,25.54,593.5
99,2024-01-02,SKU055,PL01,WH01,L4,256,220,214,6,120,15,Changeover,29.82,457.86
100,2024-01-02,SKU058,PL01,WH01,L3,229,221,218,3,120,6,Mechanical,34.1,534.33
101,2024-01-02,SKU003,PL02,WH02,L4,248,216,213,3,120,16,Changeover,14.2,522.71
102,2024-01-02,SKU006,PL02,WH02,L3,239,216,209,7,120,9,Mechanical,18.48,474.51
103,2024-01-02,SKU009,PL02,WH02,L2,220,185,180,5,120,16,Material Wait,22.75,480.35
104,2024-01-02,SKU012,PL02,WH02,L1,247,232,225,7,120,7,Material Wait,9.92,470.75
105,2024-01-02,SKU015,PL02,WH02,L4,250,238,233,5,120,5,Changeover,16.68,512.32
106,2024-01-02,SKU018,PL02,WH02,L3,206,185,179,6,120,6,Changeover,20.96,403.19
107,2024-01-02,SKU021,PL02,WH02,L2,215,214,206,8,120,0,None,25.23,516.99
108,2024-01-02,SKU024,PL02,WH02,L1,229,206,202,4,120,14,Cleaning,12.4,383.4
109,2024-01-02,SKU027,PL02,WH02,L4,227,200,194,6,120,10,Cleaning,19.16,373.21
110,2024-01-02,SKU030,PL02,WH02,L3,227,216,209,7,120,7,Material Wait,23.44,552.88
111,2024-01-02,SKU033,PL02,WH02,L2,211,198,195,3,120,5,Mechanical,27.71,442.48
112,2024-01-02,SKU036,PL02,WH02,L1,259,238,230,8,120,10,Material Wait,14.88,602.68
113,2024-01-02,SKU039,PL02,WH02,L4,256,225,220,5,120,13,Changeover,21.64,417.69
114,2024-01-02,SKU042,PL02,WH02,L3,233,213,206,7,120,10,Material Wait,25.92,489.22
115,2024-01-02,SKU045,PL02,WH02,L2,230,213,206,7,120,8,Material Wait,30.19,468.49
116,2024-01-02,SKU048,PL02,WH02,L1,218,209,203,6,120,3,Mechanical,17.36,527.28
117,2024-01-02,SKU051,PL02,WH02,L4,214,202,196,6,120,2,Changeover,24.12,466.37
118,2024-01-02,SKU054,PL02,WH02,L3,250,206,203,3,120,15,Material Wait,28.4,381.18
119,2024-01-02,SKU057,PL02,WH02,L2,235,230,227,3,120,2,Mechanical,32.67,562.69
120,2024-01-02,SKU060,PL02,WH02,L1,210,186,182,4,120,12,Material Wait,19.84,366.16
121,2024-01-02,SKU002,PL03,WH03,L3,215,190,185,5,120,9,Material Wait,12.77,363.96
122,2024-01-02,SKU005,PL03,WH03,L2,241,212,205,7,120,8,Changeover,17.05,465.27
123,2024-01-02,SKU008,PL03,WH03,L1,203,165,163,2,120,18,Mechanical,21.33,338.37
124,2024-01-02,SKU011,PL03,WH03,L4,248,227,220,7,120,12,Material Wait,25.61,430.69
125,2024-01-02,SKU014,PL03,WH03,L3,253,249,244,5,120,3,Cleaning,15.25,644.5
126,2024-01-02,SKU017,PL03,WH03,L2,223,218,215,3,120,0,None,19.53,523.3
127,2024-01-02,SKU020,PL03,WH03,L1,241,208,200,8,120,18,Mechanical,23.81,378.49
128,2024-01-02,SKU023,PL03,WH03,L4,203,190,185,5,120,8,Changeover,28.09,473.53
129,2024-01-02,SKU026,PL03,WH03,L3,201,171,166,5,120,17,Cleaning,17.73,412.51
130,2024-01-02,SKU029,PL03,WH03,L2,230,195,190,5,120,16,Mechanical,22.01,401.73
131,2024-01-02,SKU032,PL03,WH03,L1,241,219,214,5,120,6,Changeover,26.29,537.17
132,2024-01-02,SKU035,PL03,WH03,L4,246,225,218,7,120,5,Material Wait,30.57,426.13
133,2024-01-02,SKU038,PL03,WH03,L3,211,204,196,8,120,1,Cleaning,20.21,492.63
134,2024-01-02,SKU041,PL03,WH03,L2,220,190,185,5,120,10,Material Wait,24.49,358.97
135,2024-01-02,SKU044,PL03,WH03,L1,259,243,237,6,120,9,Material Wait,28.77,541.27
136,2024-01-02,SKU047,PL03,WH03,L4,236,207,203,4,120,14,Material Wait,33.05,435.33
137,2024-01-02,SKU050,PL03,WH03,L3,248,232,225,7,120,1,Mechanical,22.69,566.26
138,2024-01-02,SKU053,PL03,WH03,L2,208,174,171,3,120,17,Material Wait,26.97,321.88
139,2024-01-02,SKU056,PL03,WH03,L1,201,188,182,6,120,1,Changeover,31.25,349.59
140,2024-01-02,SKU059,PL03,WH03,L4,249,230,227,3,120,10,Changeover,35.53,571.85
141,2024-01-02,SKU001,PL04,WH04,L2,241,216,209,7,120,8,Changeover,11.35,459.13
142,2024-01-02,SKU004,PL04,WH04,L1,257,236,228,8,120,4,Mechanical,15.62,459.35
143,2024-01-02,SKU007,PL04,WH04,L4,256,218,211,7,120,18,Material Wait,19.9,543.1
144,2024-01-02,SKU010,PL04,WH04,L3,207,190,184,6,120,6,Changeover,24.18,424.65
145,2024-01-02,SKU013,PL04,WH04,L2,229,216,211,5,120,7,Cleaning,13.83,407.15
146,2024-01-02,SKU016,PL04,WH04,L1,247,220,213,7,120,12,Cleaning,18.1,526.36
147,2024-01-02,SKU019,PL04,WH04,L4,219,198,191,7,120,13,Material Wait,22.38,437.4
148,2024-01-02,SKU022,PL04,WH04,L3,247,228,223,5,120,10,Mechanical,26.66,470.98
149,2024-01-02,SKU025,PL04,WH04,L2,234,213,205,8,120,9,Changeover,16.31,464.45
150,2024-01-02,SKU028,PL04,WH04,L1,216,184,178,6,120,17,Mechanical,20.58,419.33
151,2024-01-02,SKU031,PL04,WH04,L4,232,210,205,5,120,9,Cleaning,24.86,521.31
152,2024-01-02,SKU034,PL04,WH04,L3,232,214,208,6,120,8,Cleaning,29.14,510.88
153,2024-01-02,SKU037,PL04,WH04,L2,213,189,186,3,120,13,Mechanical,18.79,378.76
154,2024-01-02,SKU040,PL04,WH04,L1,207,200,195,5,120,3,Changeover,23.06,515.76
155,2024-01-02,SKU043,PL04,WH04,L4,238,202,199,3,120,14,Cleaning,27.34,421.81
156,2024-01-02,SKU046,PL04,WH04,L3,239,233,229,4,120,4,Material Wait,31.62,531.48
157,2024-01-02,SKU049,PL04,WH04,L2,227,209,206,3,120,6,Cleaning,21.27,410.99
158,2024-01-02,SKU052,PL04,WH04,L1,217,200,197,3,120,10,Mechanical,25.54,360.58
159,2024-01-02,SKU055,PL04,WH04,L4,214,205,200,5,120,3,Material Wait,29.82,522.06
160,2024-01-02,SKU058,PL04,WH04,L3,201,183,181,2,120,11,Material Wait,34.1,439.78
161,2024-01-03,SKU003,PL01,WH01,L4,201,173,171,2,120,14,Cleaning,14.2,439.72
162,2024-01-03,SKU006,PL01,WH01,L3,208,177,173,4,120,14,Material Wait,18.48,335.48
163,2024-01-03,SKU009,PL01,WH01,L2,212,194,191,3,120,8,Cleaning,22.75,399.62
