ReturnLineID,DeliveryLineID,ReturnDate,ReturnedCases,ReasonCode,CreditAmountGBP,HandlingCostGBP,Disposition
1,3,2024-02-01,4,Quality,75.8,3.8,Destroyed
2,27,2024-01-30,2,Quality,84.94,2.9,Destroyed
3,33,2024-01-19,1,Customer Rejection,31.54,2.45,Destroyed
4,37,2024-01-08,8,Short Shelf Life,426.8,5.6,Destroyed
5,38,2024-01-23,2,Damaged,102.24,2.9,Destroyed
6,40,2024-01-13,2,Quality,70.68,2.9,Destroyed
7,42,2024-01-27,6,Short Shelf Life,143.16,4.7,Destroyed
8,48,2024-02-02,1,Damaged,34.3,2.45,Destroyed
9,51,2024-01-25,5,Quality,149.85,4.25,Destroyed
10,52,2024-01-31,7,Quality,346.29,5.15,Destroyed
11,57,2024-01-24,2,Customer Rejection,78.28,2.9,Destroyed
12,58,2024-01-29,2,Customer Rejection,102.0,2.9,Destroyed
13,59,2024-01-26,1,Quality,51.0,2.45,Destroyed
14,61,2024-01-22,9,Quality,370.08,6.05,Destroyed
15,71,2024-01-22,2,Short Shelf Life,54.34,2.9,Destroyed
16,72,2024-01-20,1,Damaged,27.17,2.45,Destroyed
17,82,2024-01-21,8,Quality,234.8,5.6,Destroyed
18,96,2024-01-10,5,Short Shelf Life,120.0,4.25,Destroyed
19,101,2024-01-22,1,Damaged,41.2,2.45,Destroyed
20,102,2024-01-23,2,Short Shelf Life,62.28,2.9,Destroyed
21,106,2024-02-03,6,Short Shelf Life,228.0,4.7,Destroyed
22,112,2024-01-19,3,Damaged,155.1,3.35,Destroyed
23,124,2024-02-01,3,Short Shelf Life,96.0,3.35,Destroyed
24,137,2024-01-20,1,Short Shelf Life,42.69,2.45,Destroyed
25,154,2024-01-23,1,Short Shelf Life,34.77,2.45,Destroyed
26,156,2024-01-27,2,Short Shelf Life,33.68,2.9,Destroyed
27,170,2024-01-13,1,Damaged,52.25,2.45,Destroyed
28,183,2024-02-01,3,Quality,78.93,3.35,Destroyed
29,202,2024-01-20,2,Short Shelf Life,73.78,2.9,Destroyed
30,206,2024-01-30,11,Quality,185.24,6.95,Destroyed
31,211,2024-01-24,1,Quality,44.8,2.45,Destroyed
32,237,2024-01-30,2,Damaged,51.52,2.9,Destroyed
33,238,2024-01-13,4,Quality,222.32,3.8,Destroyed
34,245,2024-01-17,2,Short Shelf Life,62.2,2.9,Destroyed
35,247,2024-02-04,1,Customer Rejection,41.12,2.45,Destroyed
