OrderLineID,OrderID,LineNumber,OrderDate,PromisedDate,CustomerID,ProductID,ProductName,Category,Brand,UnitsPerCase,WarehouseID,OrderedCases,CancelledCases,ListPricePerCaseGBP,DiscountRate,PromoCode,OrderStatus
1,SO0000001,1,2024-01-01,2024-01-05,1,SKU045,Home Care Variant 09,Home Care,BrightNest,12,WH01,64,0,48.7,0.05,,Closed
2,SO0000001,2,2024-01-01,2024-01-05,1,SKU056,Packaged Foods Variant 08,Packaged Foods,PantryCo,6,WH01,64,0,50.4,0.08,,Closed
3,SO0000002,1,2024-01-01,2024-01-05,2,SKU014,Snacks Variant 02,Snacks,Crispa,6,WH02,96,0,24.6,0,,Closed
4,SO0000003,1,2024-01-01,2024-01-05,3,SKU019,Snacks Variant 07,Snacks,Crispa,24,WH03,61,0,36.1,0.05,,Closed
5,SO0000003,2,2024-01-01,2024-01-05,3,SKU057,Packaged Foods Variant 09,Packaged Foods,PantryCo,12,WH03,57,0,52.7,0.03,,Closed
6,SO0000004,1,2024-01-01,2024-01-05,4,SKU002,Beverages Variant 02,Beverages,Vale,6,WH04,61,0,20.6,0.08,,Closed
7,SO0000004,2,2024-01-01,2024-01-05,4,SKU052,Packaged Foods Variant 04,Packaged Foods,PantryCo,24,WH04,37,0,41.2,0,,Closed
8,SO0000005,1,2024-01-01,2024-01-05,5,SKU041,Home Care Variant 05,Home Care,BrightNest,6,WH01,41,41,39.5,0,,Cancelled
9,SO0000006,1,2024-01-01,2024-01-05,6,SKU018,Snacks Variant 06,Snacks,Crispa,12,WH02,44,0,33.8,0.05,,Closed
10,SO0000007,1,2024-01-01,2024-01-05,7,SKU031,Personal Care Variant 07,Personal Care,Purely,24,WH03,86,0,40.1,0,,Closed
11,SO0000007,2,2024-01-01,2024-01-05,7,SKU054,Packaged Foods Variant 06,Packaged Foods,PantryCo,12,WH03,83,0,45.8,0.08,,Closed
12,SO0000007,3,2024-01-01,2024-01-05,7,SKU023,Snacks Variant 11,Snacks,Crispa,6,WH03,33,0,45.3,0,,Closed
13,SO0000008,1,2024-01-01,2024-01-05,8,SKU020,Snacks Variant 08,Snacks,Crispa,6,WH04,72,0,38.4,0.08,,Closed
14,SO0000008,2,2024-01-01,2024-01-05,8,SKU053,Packaged Foods Variant 05,Packaged Foods,PantryCo,6,WH04,66,0,43.5,0.08,,Closed
15,SO0000009,1,2024-01-01,2024-01-05,9,SKU059,Packaged Foods Variant 11,Packaged Foods,PantryCo,6,WH01,47,0,57.3,0.05,,Closed
16,SO0000009,2,2024-01-01,2024-01-05,9,SKU019,Snacks Variant 07,Snacks,Crispa,24,WH01,32,0,36.1,0.08,,Closed
17,SO0000010,1,2024-01-01,2024-01-05,10,SKU057,Packaged Foods Variant 09,Packaged Foods,PantryCo,12,WH02,24,0,52.7,0.08,,Closed
18,SO0000011,1,2024-01-01,2024-01-05,11,SKU053,Packaged Foods Variant 05,Packaged Foods,PantryCo,6,WH03,83,0,43.5,0,,Closed
19,SO0000011,2,2024-01-01,2024-01-05,11,SKU012,Beverages Variant 12,Beverages,Vale,12,WH03,84,0,16.0,0.03,,Closed
20,SO0000012,1,2024-01-01,2024-01-05,12,SKU006,Beverages Variant 06,Beverages,Vale,12,WH04,69,0,29.8,0.03,,Closed
21,SO0000012,2,2024-01-01,2024-01-05,12,SKU020,Snacks Variant 08,Snacks,Crispa,6,WH04,59,0,38.4,0.03,,Closed
22,SO0000013,1,2024-01-01,2024-01-05,13,SKU049,Packaged Foods Variant 01,Packaged Foods,PantryCo,24,WH01,94,0,34.3,0,,Closed
23,SO0000014,1,2024-01-01,2024-01-05,14,SKU007,Beverages Variant 07,Beverages,Vale,24,WH02,54,0,32.1,0.03,,Closed
24,SO0000015,1,2024-01-01,2024-01-05,15,SKU008,Beverages Variant 08,Beverages,Vale,6,WH03,88,0,34.4,0.08,,Closed
25,SO0000015,2,2024-01-01,2024-01-05,15,SKU019,Snacks Variant 07,Snacks,Crispa,24,WH03,95,0,36.1,0.08,,Closed
26,SO0000016,1,2024-01-01,2024-01-05,16,SKU010,Beverages Variant 10,Beverages,Vale,24,WH04,108,0,39.0,0.08,,Closed
27,SO0000017,1,2024-01-01,2024-01-05,17,SKU002,Beverages Variant 02,Beverages,Vale,6,WH01,26,0,20.6,0,,Closed
28,SO0000017,2,2024-01-01,2024-01-05,17,SKU057,Packaged Foods Variant 09,Packaged Foods,PantryCo,12,WH01,34,0,52.7,0.03,,Closed
29,SO0000017,3,2024-01-01,2024-01-05,17,SKU014,Snacks Variant 02,Snacks,Crispa,6,WH01,97,0,24.6,0.03,,Closed
30,SO0000018,1,2024-01-01,2024-01-05,18,SKU047,Home Care Variant 11,Home Care,BrightNest,6,WH02,61,0,53.3,0,,Closed
31,SO0000018,2,2024-01-01,2024-01-05,18,SKU027,Personal Care Variant 03,Personal Care,Purely,12,WH02,85,0,30.9,0.05,,Closed
32,SO0000019,1,2024-01-01,2024-01-05,19,SKU058,Packaged Foods Variant 10,Packaged Foods,PantryCo,24,WH03,59,0,55.0,0.03,,Closed
33,SO0000020,1,2024-01-01,2024-01-05,20,SKU029,Personal Care Variant 05,Personal Care,Purely,6,WH04,31,0,35.5,0.05,,Closed
34,SO0000020,2,2024-01-01,2024-01-05,20,SKU058,Packaged Foods Variant 10,Packaged Foods,PantryCo,24,WH04,63,0,55.0,0.03,,Closed
35,SO0000020,3,2024-01-01,2024-01-05,20,SKU042,Home Care Variant 06,Home Care,BrightNest,12,WH04,31,0,41.8,0.08,,Closed
36,SO0000021,1,2024-01-01,2024-01-05,21,SKU023,Snacks Variant 11,Snacks,Crispa,6,WH01,110,0,45.3,0,,Closed
37,SO0000021,2,2024-01-01,2024-01-05,21,SKU014,Snacks Variant 02,Snacks,Crispa,6,WH01,27,0,24.6,0.08,,Closed
38,SO0000022,1,2024-01-01,2024-01-05,22,SKU020,Snacks Variant 08,Snacks,Crispa,6,WH02,64,0,38.4,0,,Closed
39,SO0000023,1,2024-01-01,2024-01-05,23,SKU050,Packaged Foods Variant 02,Packaged Foods,PantryCo,6,WH03,96,0,36.6,0.08,,Closed
40,SO0000023,2,2024-01-01,2024-01-05,23,SKU052,Packaged Foods Variant 04,Packaged Foods,PantryCo,24,WH03,30,0,41.2,0.03,,Closed
41,SO0000024,1,2024-01-01,2024-01-05,24,SKU048,Home Care Variant 12,Home Care,BrightNest,12,WH04,90,0,28.0,0.08,,Closed
42,SO0000025,1,2024-01-01,2024-01-05,25,SKU024,Snacks Variant 12,Snacks,Crispa,12,WH01,75,0,20.0,0,,Closed
43,SO0000025,2,2024-01-01,2024-01-05,25,SKU016,Snacks Variant 04,Snacks,Crispa,24,WH01,80,0,29.2,0.08,,Closed
44,SO0000025,3,2024-01-01,2024-01-05,25,SKU059,Packaged Foods Variant 11,Packaged Foods,PantryCo,6,WH01,86,0,57.3,0.03,,Closed
45,SO0000026,1,2024-01-01,2024-01-05,26,SKU015,Snacks Variant 03,Snacks,Crispa,12,WH02,51,0,26.9,0.08,,Closed
46,SO0000026,2,2024-01-01,2024-01-05,26,SKU040,Home Care Variant 04,Home Care,BrightNest,24,WH02,58,0,37.2,0.05,,Closed
47,SO0000026,3,2024-01-01,2024-01-05,26,SKU017,Snacks Variant 05,Snacks,Crispa,6,WH02,90,0,31.5,0.08,,Closed
48,SO0000027,1,2024-01-01,2024-01-05,27,SKU003,Beverages Variant 03,Beverages,Vale,12,WH03,92,0,22.9,0.05,,Closed
49,SO0000028,1,2024-01-01,2024-01-05,28,SKU002,Beverages Variant 02,Beverages,Vale,6,WH04,55,0,20.6,0.05,,Closed
50,SO0000028,2,2024-01-01,2024-01-05,28,SKU006,Beverages Variant 06,Beverages,Vale,12,WH04,101,0,29.8,0.08,,Closed
51,SO0000029,1,2024-01-01,2024-01-05,29,SKU022,Snacks Variant 10,Snacks,Crispa,24,WH01,42,0,43.0,0.05,,Closed
52,SO0000030,1,2024-01-01,2024-01-05,30,SKU001,Beverages Variant 01,Beverages,Vale,24,WH02,110,0,18.3,0.05,,Closed
53,SO0000030,2,2024-01-01,2024-01-05,30,SKU008,Beverages Variant 08,Beverages,Vale,6,WH02,83,0,34.4,0.05,,Closed
54,SO0000030,3,2024-01-01,2024-01-05,30,SKU034,Personal Care Variant 10,Personal Care,Purely,24,WH02,89,0,47.0,0.03,,Closed
55,SO0000031,1,2024-01-01,2024-01-05,31,SKU026,Personal Care Variant 02,Personal Care,Purely,6,WH03,30,0,28.6,0.05,,Closed
56,SO0000031,2,2024-01-01,2024-01-05,31,SKU052,Packaged Foods Variant 04,Packaged Foods,PantryCo,24,WH03,84,0,41.2,0,,Closed
57,SO0000031,3,2024-01-01,2024-01-05,31,SKU043,Home Care Variant 07,Home Care,BrightNest,24,WH03,78,0,44.1,0.05,,Closed
58,SO0000032,1,2024-01-01,2024-01-05,32,SKU055,Packaged Foods Variant 07,Packaged Foods,PantryCo,24,WH04,64,0,48.1,0.05,,Closed
59,SO0000033,1,2024-01-01,2024-01-05,33,SKU036,Personal Care Variant 12,Personal Care,Purely,12,WH01,86,0,24.0,0,,Closed
60,SO0000034,1,2024-01-01,2024-01-05,34,SKU029,Personal Care Variant 05,Personal Care,Purely,6,WH02,75,0,35.5,0.03,,Closed
61,SO0000035,1,2024-01-01,2024-01-05,35,SKU018,Snacks Variant 06,Snacks,Crispa,12,WH03,44,0,33.8,0.08,,Closed
