POReceiptID,PONumber,SupplierID,SupplierName,MaterialID,MaterialName,MaterialUOM,PlantID,PODate,PromisedReceiptDate,ActualReceiptDate,OrderedQty,ReceivedQty,RejectedQty,ContractUnitPriceGBP,ActualUnitPriceGBP,InvoiceAmountGBP
1,PO0000001,SUP003,Fictional Supplier 03,MAT014,Packaging 14,PCS,PL03,2023-12-24,2024-01-03,2024-01-01,3926,3926,33,1.83,1.84,7223.84
2,PO0000002,SUP006,Fictional Supplier 06,MAT010,Ingredient 10,KG,PL02,2023-12-20,2023-12-29,2024-01-01,5539,5539,51,1.35,1.36,7533.04
3,PO0000003,SUP005,Fictional Supplier 05,MAT009,Ingredient 09,KG,PL01,2023-12-23,2024-01-01,2024-01-01,5912,5912,86,1.23,1.27,7508.24
4,PO0000004,SUP022,Fictional Supplier 22,MAT004,Ingredient 04,KG,PL02,2023-12-19,2024-01-02,2024-01-01,2048,2048,12,0.63,0.61,1249.28
5,PO0000005,SUP019,Fictional Supplier 19,MAT010,Ingredient 10,KG,PL02,2023-12-20,2023-12-29,2024-01-01,1400,1400,17,1.35,1.38,1932.0
6,PO0000006,SUP007,Fictional Supplier 07,MAT002,Ingredient 02,KG,PL02,2023-12-14,2023-12-31,2024-01-01,3711,3711,66,0.39,0.39,1447.29
7,PO0000007,SUP011,Fictional Supplier 11,MAT020,Packaging 20,PCS,PL02,2023-12-24,2024-01-02,2024-01-01,3829,3829,60,2.55,2.48,9495.92
8,PO0000008,SUP007,Fictional Supplier 07,MAT005,Ingredient 05,KG,PL04,2023-12-24,2024-01-02,2024-01-01,1798,1798,27,0.75,0.75,1348.5
9,PO0000009,SUP001,Fictional Supplier 01,MAT015,Packaging 15,PCS,PL02,2023-12-12,2024-01-01,2024-01-01,4776,4776,3,1.95,1.98,9456.48
10,PO0000010,SUP022,Fictional Supplier 22,MAT005,Ingredient 05,KG,PL02,2023-12-19,2024-01-03,2024-01-01,1528,1528,2,0.75,0.74,1130.72
11,PO0000011,SUP021,Fictional Supplier 21,MAT003,Ingredient 03,KG,PL01,2023-12-13,2024-01-03,2024-01-01,5678,5678,79,0.51,0.51,2895.78
12,PO0000012,SUP002,Fictional Supplier 02,MAT008,Ingredient 08,KG,PL03,2023-12-15,2023-12-31,2024-01-01,6597,6597,104,1.11,1.15,7586.55
13,PO0000013,SUP016,Fictional Supplier 16,MAT009,Ingredient 09,KG,PL02,2023-12-21,2024-01-01,2024-01-01,7562,7562,166,1.23,1.23,9301.26
14,PO0000014,SUP019,Fictional Supplier 19,MAT001,Ingredient 01,KG,PL03,2023-12-12,2024-01-03,2024-01-01,1618,1618,35,0.27,0.27,436.86
